Blocks:
<block:agricraft:crop>, tile.agricraft:crop.name
<block:chisel:wool_gray>, Gray Wool
<block:chisel:wool_green>, Green Wool
<block:chisel:wool_lightblue>, Light Blue Wool
<block:chisel:wool_lightgray>, Light Gray Wool
<block:chisel:wool_lime>, Lime Wool
<block:chisel:wool_magenta>, Magenta Wool
<block:chisel:wool_orange>, Orange Wool
<block:chisel:wool_pink>, Pink Wool
<block:chisel:wool_purple>, Purple Wool
<block:chisel:wool_red>, Red Wool
<block:chisel:wool_white>, Wool
<block:chisel:wool_yellow>, Yellow Wool
<block:comforts:hammock_black>, tile.comforts.hammock.black.name
<block:comforts:hammock_blue>, tile.comforts.hammock.blue.name
<block:comforts:hammock_brown>, tile.comforts.hammock.brown.name
<block:comforts:hammock_cyan>, tile.comforts.hammock.cyan.name
<block:comforts:hammock_gray>, tile.comforts.hammock.gray.name
<block:comforts:hammock_green>, tile.comforts.hammock.green.name
<block:comforts:hammock_light_blue>, tile.comforts.hammock.light_blue.name
<block:comforts:hammock_lime>, tile.comforts.hammock.lime.name
<block:comforts:hammock_magenta>, tile.comforts.hammock.magenta.name
<block:comforts:hammock_orange>, tile.comforts.hammock.orange.name
<block:comforts:hammock_pink>, tile.comforts.hammock.pink.name
<block:comforts:hammock_purple>, tile.comforts.hammock.purple.name
<block:comforts:hammock_red>, tile.comforts.hammock.red.name
<block:comforts:hammock_silver>, tile.comforts.hammock.silver.name
<block:comforts:hammock_white>, tile.comforts.hammock.white.name
<block:comforts:hammock_yellow>, tile.comforts.hammock.yellow.name
<block:comforts:rope>, Rope and Nail
<block:comforts:sleeping_bag_black>, tile.comforts.sleeping_bag.black.name
<block:comforts:sleeping_bag_blue>, tile.comforts.sleeping_bag.blue.name
<block:comforts:sleeping_bag_brown>, tile.comforts.sleeping_bag.brown.name
<block:comforts:sleeping_bag_cyan>, tile.comforts.sleeping_bag.cyan.name
<block:comforts:sleeping_bag_gray>, tile.comforts.sleeping_bag.gray.name
<block:comforts:sleeping_bag_green>, tile.comforts.sleeping_bag.green.name
<block:comforts:sleeping_bag_light_blue>, tile.comforts.sleeping_bag.light_blue.name
<block:comforts:sleeping_bag_lime>, tile.comforts.sleeping_bag.lime.name
<block:comforts:sleeping_bag_magenta>, tile.comforts.sleeping_bag.magenta.name
<block:comforts:sleeping_bag_orange>, tile.comforts.sleeping_bag.orange.name
<block:comforts:sleeping_bag_pink>, tile.comforts.sleeping_bag.pink.name
<block:comforts:sleeping_bag_purple>, tile.comforts.sleeping_bag.purple.name
<block:comforts:sleeping_bag_red>, tile.comforts.sleeping_bag.red.name
<block:comforts:sleeping_bag_silver>, tile.comforts.sleeping_bag.silver.name
<block:comforts:sleeping_bag_white>, tile.comforts.sleeping_bag.white.name
<block:comforts:sleeping_bag_yellow>, tile.comforts.sleeping_bag.yellow.name
<block:cookingforblockheads:cabinet>, Kitchen Cabinet
<block:cookingforblockheads:cooking_table>, Cooking Table
<block:cookingforblockheads:corner>, Kitchen Corner
<block:cookingforblockheads:counter>, Kitchen Counter
<block:cookingforblockheads:cow_jar>, Cow in a Jar
<block:cookingforblockheads:cutting_board>, Cutting Board
<block:cookingforblockheads:fridge>, Fridge
<block:cookingforblockheads:fruit_basket>, Fruit Basket
<block:cookingforblockheads:kitchen_floor>, Kitchen Floor
<block:cookingforblockheads:milk_jar>, Milk Jar
<block:cookingforblockheads:oven>, Oven
<block:cookingforblockheads:sink>, Sink
<block:cookingforblockheads:spice_rack>, Spice Rack
<block:cookingforblockheads:toaster>, Toaster
<block:cookingforblockheads:tool_rack>, Tool Rack
<block:deepmoblearning:extraction_chamber>, Loot Fabricator
<block:deepmoblearning:infused_ingot_block>, Glitch Infused Block
<block:deepmoblearning:machine_casing>, Soot-covered Machine Casing
<block:deepmoblearning:simulation_chamber>, Simulation Chamber
<block:deepmoblearning:trial_keystone>, Trial Keystone
<block:enderio:block_advanced_power_monitor>, Graphical Power Monitor
<block:enderio:block_alloy>, Alloy Block
<block:enderio:block_alloy_endergy>, Endergy Alloy Block
<block:enderio:block_alloy_smelter>, Alloy Smelter
<block:enderio:block_attractor_obelisk>, Attractor Obelisk
<block:enderio:block_aversion_obelisk>, Aversion Obelisk
<block:enderio:block_broken_anvil>, Broken Dark Steel Anvil
<block:enderio:block_buffer>, tile.block_buffer.name
<block:enderio:block_cap_bank>, tile.block_cap_bank.name
<block:enderio:block_cold_fire>, Cold Fire
<block:enderio:block_combustion_generator>, Combustion Generator
<block:enderio:block_concussion_charge>, Concussion Charge
<block:enderio:block_conduit_bundle>, Conduit Connector
<block:enderio:block_confusion_charge>, Confusion Charge
<block:enderio:block_crafter>, Crafter
<block:enderio:block_creative_spawner>, Creative Spawner
<block:enderio:block_dark_fused_glass>, Dark Clear Glass
<block:enderio:block_dark_fused_quartz>, Dark Fused Quartz
<block:enderio:block_dark_iron_bars>, Dark Iron Bars
<block:enderio:block_dark_paper_anvil>, Dark Paper Anvil
<block:enderio:block_dark_steel_anvil>, Dark Steel Anvil
<block:enderio:block_dark_steel_door>, Dark Steel Door
<block:enderio:block_dark_steel_ladder>, Dark Steel Ladder
<block:enderio:block_dark_steel_trapdoor>, Dark Steel Trapdoor
<block:enderio:block_decoration1>, Decoration Block
<block:enderio:block_decoration2>, Decoration Block
<block:enderio:block_decoration3>, Decoration Block
<block:enderio:block_detector_block>, Block Detector
<block:enderio:block_detector_block_silent>, Block Detector (Silent)
<block:enderio:block_dialing_device>, Dialing Device
<block:enderio:block_electric_light>, Light
<block:enderio:block_enchanter>, Enchanter
<block:enderio:block_end_iron_bars>, End Steel Bars
<block:enderio:block_ender_charge>, Ender Charge
<block:enderio:block_ender_generator>, Ender Generator
<block:enderio:block_enderman_skull>, Enderman Skull
<block:enderio:block_enhanced_alloy_smelter>, Enhanced Alloy Smelter
<block:enderio:block_enhanced_alloy_smelter_top>, Enhanced Alloy Smelter
<block:enderio:block_enhanced_combustion_generator>, Enhanced Combustion Generator
<block:enderio:block_enhanced_combustion_generator_top>, Enhanced Combustion Generator
<block:enderio:block_enhanced_sag_mill>, Enhanced SAG Mill
<block:enderio:block_enhanced_sag_mill_top>, Enhanced SAG Mill
<block:enderio:block_enhanced_vat>, The Enhanced Vat
<block:enderio:block_enhanced_vat_top>, The Enhanced Vat
<block:enderio:block_enhanced_wired_charger>, Enhanced Wired Charger
<block:enderio:block_enhanced_wired_charger_top>, Enhanced Wired Charger
<block:enderio:block_enhanced_wireless_charger>, Enhanced Wireless Charging Antenna
<block:enderio:block_enlightened_fused_glass>, Enlightened Clear Glass
<block:enderio:block_enlightened_fused_quartz>, Enlightened Fused Quartz
<block:enderio:block_exit_rail>, Exit Rail
<block:enderio:block_experience_obelisk>, Experience Obelisk
<block:enderio:block_farm_station>, Farming Station
<block:enderio:block_fluid_cloud_seed>, Cloud Seed
<block:enderio:block_fluid_cloud_seed_concentrated>, Concentrated Cloud Seed
<block:enderio:block_fluid_conductive_iron>, Molten Conductive Iron
<block:enderio:block_fluid_construction_alloy>, Molten Iron Alloy
<block:enderio:block_fluid_crude_steel>, tile.fluid.crude_steel.name
<block:enderio:block_fluid_crystalline_alloy>, tile.fluid.crystalline_alloy.name
<block:enderio:block_fluid_crystalline_pink_slime>, tile.fluid.crystalline_pink_slime.name
<block:enderio:block_fluid_dark_steel>, Molten Dark Steel
<block:enderio:block_fluid_electrical_steel>, Molten Electrical Steel
<block:enderio:block_fluid_end_steel>, Molten End Steel
<block:enderio:block_fluid_ender>, Liquefied Ender Pearls
<block:enderio:block_fluid_ender_distillation>, Dew of the Void
<block:enderio:block_fluid_energetic_alloy>, Molten Energetic Alloy
<block:enderio:block_fluid_energetic_silver>, tile.fluid.energetic_silver.name
<block:enderio:block_fluid_fire_water>, Fire Water
<block:enderio:block_fluid_glowstone>, Glowgas
<block:enderio:block_fluid_hootch>, Hootch
<block:enderio:block_fluid_liquid_sunshine>, Liquid Sunshine
<block:enderio:block_fluid_melodic_alloy>, tile.fluid.melodic_alloy.name
<block:enderio:block_fluid_nutrient_distillation>, Nutrient Distillation
<block:enderio:block_fluid_pulsating_iron>, Molten Pulsating Iron
<block:enderio:block_fluid_redstone>, Molten Redstone
<block:enderio:block_fluid_redstone_alloy>, Molten Redstone Alloy
<block:enderio:block_fluid_rocket_fuel>, Rocket Fuel
<block:enderio:block_fluid_soularium>, Molten Soularium
<block:enderio:block_fluid_stellar_alloy>, tile.fluid.stellar_alloy.name
<block:enderio:block_fluid_vapor_of_levity>, tile.fluid.vapor_of_levity.name
<block:enderio:block_fluid_vibrant_alloy>, Molten Vibrant Alloy
<block:enderio:block_fluid_vivid_alloy>, tile.fluid.vivid_alloy.name
<block:enderio:block_franken_zombie_generator>, Frank'n'Zombie Generator
<block:enderio:block_fused_glass>, Quite Clear Glass
<block:enderio:block_fused_quartz>, Fused Quartz
<block:enderio:block_gauge>, Energy Gauge
<block:enderio:block_holy_dark_fused_glass>, Dark Clear Glass
<block:enderio:block_holy_dark_fused_quartz>, Dark Fused Quartz
<block:enderio:block_holy_enlightened_fused_glass>, Enlightened Clear Glass
<block:enderio:block_holy_enlightened_fused_quartz>, Enlightened Fused Quartz
<block:enderio:block_holy_fog>, Glowstone Nano-Particles
<block:enderio:block_holy_fused_glass>, Quite Clear Glass
<block:enderio:block_holy_fused_quartz>, Fused Quartz
<block:enderio:block_impulse_hopper>, Impulse Hopper
<block:enderio:block_industrial_insulation>, Industrial Insulation
<block:enderio:block_infinity>, tile.block_infinity.name
<block:enderio:block_infinity_fog>, Infinity Dust
<block:enderio:block_inhibitor_obelisk>, Inhibitor Obelisk
<block:enderio:block_inventory_chest_big>, Big Inventory System Storage
<block:enderio:block_inventory_chest_enormous>, Enormous Inventory System Storage
<block:enderio:block_inventory_chest_huge>, Huge Inventory System Storage
<block:enderio:block_inventory_chest_large>, Large Inventory System Storage
<block:enderio:block_inventory_chest_medium>, Medium Inventory System Storage
<block:enderio:block_inventory_chest_small>, Small Inventory System Storage
<block:enderio:block_inventory_chest_tiny>, Tiny Inventory System Storage
<block:enderio:block_inventory_chest_warehouse>, Inventory System Storage Warehouse
<block:enderio:block_inventory_chest_warehouse13>, Inventory System Storage Extended Warehouse
<block:enderio:block_inventory_panel>, Inventory Panel
<block:enderio:block_inventory_panel_sensor>, Inventory Sensor
<block:enderio:block_killer_joe>, Killer Joe
<block:enderio:block_lava_generator>, Lava Heat Exchanger
<block:enderio:block_light_node>, tile.block_light_node.name
<block:enderio:block_machine_base>, (technical block)
<block:enderio:block_machine_io>, (technical block)
<block:enderio:block_niard>, The Niard
<block:enderio:block_normal_wireless_charger>, Wireless Charging Antenna
<block:enderio:block_not_holy_dark_fused_glass>, Dark Clear Glass
<block:enderio:block_not_holy_dark_fused_quartz>, Dark Fused Quartz
<block:enderio:block_not_holy_enlightened_fused_glass>, Enlightened Clear Glass
<block:enderio:block_not_holy_enlightened_fused_quartz>, Enlightened Fused Quartz
<block:enderio:block_not_holy_fused_glass>, Quite Clear Glass
<block:enderio:block_not_holy_fused_quartz>, Fused Quartz
<block:enderio:block_not_pasture_dark_fused_glass>, Dark Clear Glass
<block:enderio:block_not_pasture_dark_fused_quartz>, Dark Fused Quartz
<block:enderio:block_not_pasture_enlightened_fused_glass>, Enlightened Clear Glass
<block:enderio:block_not_pasture_enlightened_fused_quartz>, Enlightened Fused Quartz
<block:enderio:block_not_pasture_fused_glass>, Quite Clear Glass
<block:enderio:block_not_pasture_fused_quartz>, Fused Quartz
<block:enderio:block_not_unholy_dark_fused_glass>, Dark Clear Glass
<block:enderio:block_not_unholy_dark_fused_quartz>, Dark Fused Quartz
<block:enderio:block_not_unholy_enlightened_fused_glass>, Enlightened Clear Glass
<block:enderio:block_not_unholy_enlightened_fused_quartz>, Enlightened Fused Quartz
<block:enderio:block_not_unholy_fused_glass>, Quite Clear Glass
<block:enderio:block_not_unholy_fused_quartz>, Fused Quartz
<block:enderio:block_omni_reservoir>, Omnivoir
<block:enderio:block_painted_carpet>, Painted Carpet
<block:enderio:block_painted_dark_steel_door>, item.block_painted_dark_steel_door.name
<block:enderio:block_painted_dark_steel_trapdoor>, Painted Dark Steel Trapdoor
<block:enderio:block_painted_double_slab>, Painted Slab
<block:enderio:block_painted_fence>, Painted Fence
<block:enderio:block_painted_fence_gate>, Painted Gate
<block:enderio:block_painted_fused_quartz>, Painted Fused Quartz
<block:enderio:block_painted_fused_quartz1>, Painted Fused Quartz
<block:enderio:block_painted_fused_quartz2>, Painted Fused Quartz
<block:enderio:block_painted_glowstone>, Painted Glowstone
<block:enderio:block_painted_glowstone_solid>, Painted Glowstone
<block:enderio:block_painted_iron_door>, item.block_painted_iron_door.name
<block:enderio:block_painted_iron_trapdoor>, Painted Iron Trapdoor
<block:enderio:block_painted_packed_ice>, Painted Packed Ice
<block:enderio:block_painted_packed_ice_solid>, Painted Packed Ice
<block:enderio:block_painted_pressure_plate>, Painted Pressure Plate
<block:enderio:block_painted_redstone>, Painted Redstone
<block:enderio:block_painted_redstone_solid>, Painted Redstone
<block:enderio:block_painted_reinforced_obsidian>, Painted Reinforced Obsidian
<block:enderio:block_painted_reinforced_obsidian_nonsolid>, Painted Reinforced Obsidian
<block:enderio:block_painted_sand>, Painted Sand
<block:enderio:block_painted_slab>, Painted Slab
<block:enderio:block_painted_stair>, Painted Stairs
<block:enderio:block_painted_stone>, Painted Cobblestone
<block:enderio:block_painted_stone_double_slab>, Painted Stone Slab
<block:enderio:block_painted_stone_fence>, Painted Stone Fence
<block:enderio:block_painted_stone_slab>, Painted Stone Slab
<block:enderio:block_painted_stone_stair>, Painted Stone Stairs
<block:enderio:block_painted_wall>, Painted Wall
<block:enderio:block_painted_wooden_door>, item.block_painted_wooden_door.name
<block:enderio:block_painted_wooden_trapdoor>, Painted Wooden Trapdoor
<block:enderio:block_painted_workbench>, Painted Crafting Table
<block:enderio:block_painter>, Painting Machine
<block:enderio:block_pasture_dark_fused_glass>, Dark Clear Glass
<block:enderio:block_pasture_dark_fused_quartz>, Dark Fused Quartz
<block:enderio:block_pasture_enlightened_fused_glass>, Enlightened Clear Glass
<block:enderio:block_pasture_enlightened_fused_quartz>, Enlightened Fused Quartz
<block:enderio:block_pasture_fused_glass>, Quite Clear Glass
<block:enderio:block_pasture_fused_quartz>, Fused Quartz
<block:enderio:block_power_monitor>, Power Monitor
<block:enderio:block_powered_spawner>, Powered Spawner
<block:enderio:block_reinforced_obsidian>, Reinforced Obsidian
<block:enderio:block_relocator_obelisk>, Relocator Obelisk
<block:enderio:block_reservoir>, Endervoir
<block:enderio:block_sag_mill>, SAG Mill
<block:enderio:block_self_resetting_lever10>, Self-resetting Lever (10 seconds)
<block:enderio:block_self_resetting_lever10i>, Inverted Self-resetting Lever (10 seconds)
<block:enderio:block_self_resetting_lever30>, Self-resetting Lever (30 seconds)
<block:enderio:block_self_resetting_lever300>, Self-resetting Lever (5 Minutes)
<block:enderio:block_self_resetting_lever300i>, Inverted Self-resetting Lever (5 Minutes)
<block:enderio:block_self_resetting_lever30i>, Inverted Self-resetting Lever (30 seconds)
<block:enderio:block_self_resetting_lever5>, Self-resetting Lever (5 seconds)
<block:enderio:block_self_resetting_lever5i>, Inverted Self-resetting Lever (5 seconds)
<block:enderio:block_self_resetting_lever60>, Self-resetting Lever (1 Minute)
<block:enderio:block_self_resetting_lever60i>, Inverted Self-resetting Lever (1 Minute)
<block:enderio:block_simple_alloy_smelter>, Simple Alloy Smelter
<block:enderio:block_simple_crafter>, Simple Crafter
<block:enderio:block_simple_furnace>, Simple Powered Furnace
<block:enderio:block_simple_sag_mill>, Simple SAG Mill
<block:enderio:block_simple_stirling_generator>, Simple Stirling Generator
<block:enderio:block_simple_wired_charger>, Simple Wired Charger
<block:enderio:block_slice_and_splice>, Slice'N'Splice
<block:enderio:block_solar_panel>, Photovoltaic Cell
<block:enderio:block_soul_binder>, Soul Binder
<block:enderio:block_stirling_generator>, Stirling Generator
<block:enderio:block_tank>, Fluid Tank
<block:enderio:block_tele_pad>, Telepad Block
<block:enderio:block_transceiver>, Dimensional Transceiver
<block:enderio:block_travel_anchor>, Travel Anchor
<block:enderio:block_unholy_dark_fused_glass>, Dark Clear Glass
<block:enderio:block_unholy_dark_fused_quartz>, Dark Fused Quartz
<block:enderio:block_unholy_enlightened_fused_glass>, Enlightened Clear Glass
<block:enderio:block_unholy_enlightened_fused_quartz>, Enlightened Fused Quartz
<block:enderio:block_unholy_fused_glass>, Quite Clear Glass
<block:enderio:block_unholy_fused_quartz>, Fused Quartz
<block:enderio:block_vacuum_chest>, Vacuum Chest
<block:enderio:block_vat>, The Vat
<block:enderio:block_weather_obelisk>, Weather Obelisk
<block:enderio:block_wired_charger>, Wired Charger
<block:enderio:block_wireless_charger>, Wireless Charger
<block:enderio:block_wireless_charger_extension>, Wireless Charging Antenna Extension
<block:enderio:block_xp_vacuum>, XP Vacuum
<block:enderio:block_zombie_generator>, Zombie Generator
<block:enderstorage:ender_storage>, tile.ender_storage.name
<block:enderzoo:blockconcussioncharge>, Concussion Charge
<block:enderzoo:blockconfusingcharge>, Confusing Charge
<block:enderzoo:blockendercharge>, Ender Charge
<block:eplus:advanced_table>, Advanced Enchantment Table
<block:eplus:decorative_book>, tile.eplus.decorative.book.name
<block:extraplanets:advanced_fuel_loader>, Advanced Fuel Loader
<block:extraplanets:advanced_launch_pad>, tile.advanced_launch_pad.name
<block:extraplanets:advanced_launch_pad_full>, Tier 2/3 Launch Pad
<block:extraplanets:advanced_oxygen_compressor>, tile.advanced_oxygen_compressor.name
<block:extraplanets:advanced_refinery>, Advanced Refinery
<block:extraplanets:ash_rock>, Ash Block
<block:extraplanets:basic_chemical_injector>, Basic Chemical Injector
<block:extraplanets:basic_crystallizer>, Basic Crystallizer
<block:extraplanets:basic_decontamination_unit>, Basic Decontamination Unit
<block:extraplanets:basic_decontamination_unit_fake_block>, Basic Decontamination Unit
<block:extraplanets:basic_decrystallizer>, Basic Decrystallizer
<block:extraplanets:basic_densifier>, Basic Densifier
<block:extraplanets:basic_purifier>, Basic Purifier
<block:extraplanets:basic_smasher>, Basic Block Smasher
<block:extraplanets:basic_solar_evaporation_chamber>, Basic Solar Evaporation Chamber
<block:extraplanets:block_multi>, tile.block_multi.name
<block:extraplanets:cake_blocks>, tile.cake_blocks.name
<block:extraplanets:callisto>, tile.callisto.name
<block:extraplanets:callisto_gravel>, Callisto Gravel
<block:extraplanets:candy_blocks>, tile.candy_blocks.name
<block:extraplanets:candy_blocks_horizontal>, tile.candy_blocks_horizontal.name
<block:extraplanets:ceres>, tile.ceres.name
<block:extraplanets:ceres_gravel>, Ceres Gravel
<block:extraplanets:ceres_stairs_stone>, Ceres Stone Stairs
<block:extraplanets:ceres_stairs_stone_bricks>, Ceres Stone Bricks Stairs
<block:extraplanets:ceres_stairs_sub_surface>, Ceres Sub Surface Stairs
<block:extraplanets:ceres_stairs_surface>, Ceres Surface Stairs
<block:extraplanets:clean_water>, Clean Water
<block:extraplanets:coal_grit>, Coal Grit
<block:extraplanets:decorative_blocks>, tile.decorative_blocks.name
<block:extraplanets:decorative_blocks2>, tile.decorative_blocks2.name
<block:extraplanets:deimos>, tile.deimos.name
<block:extraplanets:deimos_gravel>, Deimos Gravel
<block:extraplanets:dense_ice>, Dense Ice
<block:extraplanets:diamond_grit>, Diamond Grit
<block:extraplanets:emerald_grit>, Emerald Grit
<block:extraplanets:eris>, tile.eris.name
<block:extraplanets:eris_gravel>, Eris Gravel
<block:extraplanets:eris_spawner>, tile.boss_spawner_eris.name
<block:extraplanets:eris_stairs_stone>, Eris Stone Stairs
<block:extraplanets:eris_stairs_stone_bricks>, Eris Stone Bricks Stairs
<block:extraplanets:eris_stairs_sub_surface>, Eris Sub Surface Stairs
<block:extraplanets:eris_stairs_surface>, Eris Surface Stairs
<block:extraplanets:europa>, tile.europa.name
<block:extraplanets:europa_gravel>, Europa Gravel
<block:extraplanets:fire_bomb>, Fire Bomb
<block:extraplanets:fossil>, Fossil Block
<block:extraplanets:frozen_nitrogen>, Frozen Nitrogen
<block:extraplanets:frozen_water>, Frozen Water
<block:extraplanets:ganymede>, tile.ganymede.name
<block:extraplanets:ganymede_gravel>, Ganymede Gravel
<block:extraplanets:glowstone>, Liquid Glowstone
<block:extraplanets:gold_grit>, Gold Grit
<block:extraplanets:iapetus>, tile.iapetus.name
<block:extraplanets:iapetus_gravel>, Iapetus Gravel
<block:extraplanets:infected_water>, Infected Water
<block:extraplanets:io>, tile.io.name
<block:extraplanets:io_gravel>, Io Gravel
<block:extraplanets:iron_grit>, Iron Grit
<block:extraplanets:jupiter>, tile.jupiter.name
<block:extraplanets:jupiter_gravel>, Jupiter Gravel
<block:extraplanets:jupiter_spawner>, tile.boss_spawner_jupiter.name
<block:extraplanets:jupiter_stairs_stone>, Jupiter Stone Stairs
<block:extraplanets:jupiter_stairs_stone_bricks>, Jupiter Stone Bricks Stairs
<block:extraplanets:jupiter_stairs_sub_surface>, Jupiter Sub Surface Stairs
<block:extraplanets:jupiter_stairs_surface>, Jupiter Surface Stairs
<block:extraplanets:kepler22b>, tile.kepler22b.name
<block:extraplanets:kepler22b_blue_grass>, Kepler 22b Blue Grass
<block:extraplanets:kepler22b_flowers>, tile.kepler22b_flowers.name
<block:extraplanets:kepler22b_grass>, Kepler 22b Grass
<block:extraplanets:kepler22b_infected_grass>, Kepler 22b Infected Grass
<block:extraplanets:kepler22b_maple_logs>, tile.kepler22b_maple_logs.name
<block:extraplanets:kepler22b_maple_logs2>, tile.kepler22b_maple_logs2.name
<block:extraplanets:kepler22b_maple_saplings>, tile.kepler22b_maple_saplings.tile.kepler22b_maple_saplings.name
<block:extraplanets:kepler22b_new_maple_leaves>, tile.kepler22b_new_maple_leaves.name
<block:extraplanets:kepler22b_new_maple_leaves_2>, tile.kepler22b_new_maple_leaves_2.name
<block:extraplanets:kepler22b_planks>, tile.kepler22b_planks.name
<block:extraplanets:kepler22b_purple_grass>, Kepler 22b Purple Grass
<block:extraplanets:kepler22b_red_grass>, Kepler 22b Red Grass
<block:extraplanets:kepler22b_yellow_grass>, Kepler 22b Yellow Grass
<block:extraplanets:liquid_caramel>, Liquid Caramel
<block:extraplanets:liquid_chocolate>, Liquid Chocolate
<block:extraplanets:liquid_hydrocarbon>, Liquid Hydrocarbon
<block:extraplanets:magma>, Liquid Magma
<block:extraplanets:mercury>, tile.mercury.name
<block:extraplanets:mercury_gravel>, Mercury Gravel
<block:extraplanets:mercury_spawner>, tile.boss_spawner_mercury.name
<block:extraplanets:mercury_stairs_stone>, Mercury Stone Stairs
<block:extraplanets:mercury_stairs_stone_bricks>, Mercury Stone Bricks Stairs
<block:extraplanets:mercury_stairs_sub_surface>, Mercury Sub Surface Stairs
<block:extraplanets:mercury_stairs_surface>, Mercury Surface Stairs
<block:extraplanets:methane>, Liquid Methane
<block:extraplanets:neptune>, tile.neptune.name
<block:extraplanets:neptune_spawner>, tile.boss_spawner_neptune.name
<block:extraplanets:neptune_stairs_stone>, Neptune Stone Stairs
<block:extraplanets:neptune_stairs_stone_bricks>, Neptune Stone Bricks Stairs
<block:extraplanets:neptune_stairs_sub_surface>, Neptune Sub Surface Stairs
<block:extraplanets:neptune_stairs_surface>, Neptune Surface Stairs
<block:extraplanets:nitrogen>, Liquid Nitrogen
<block:extraplanets:nitrogen_ice>, Liquid Nitrogen Ice
<block:extraplanets:nuclear_bomb>, Nuclear Bomb
<block:extraplanets:oberon>, tile.oberon.name
<block:extraplanets:oberon_gravel>, Oberon Gravel
<block:extraplanets:orange_sand>, Orange Sand
<block:extraplanets:orange_sandstone>, Orange Sandstone
<block:extraplanets:ore_lead>, Lead Ore
<block:extraplanets:phobos>, tile.phobos.name
<block:extraplanets:phobos_gravel>, Phobos Gravel
<block:extraplanets:pluto>, tile.pluto.name
<block:extraplanets:pluto_gravel>, Pluto Gravel
<block:extraplanets:pluto_spawner>, tile.boss_spawner_pluto.name
<block:extraplanets:pluto_stairs_stone>, Pluto Stone Stairs
<block:extraplanets:pluto_stairs_stone_bricks>, Pluto Stone Bricks Stairs
<block:extraplanets:pluto_stairs_sub_surface>, Pluto Sub Surface Stairs
<block:extraplanets:pluto_stairs_surface>, Pluto Surface Stairs
<block:extraplanets:potash>, Potash
<block:extraplanets:radioactive_water>, Radioactive Water
<block:extraplanets:red_sand>, Red Sand
<block:extraplanets:red_sandstone>, Red Sandstone
<block:extraplanets:rhea>, tile.rhea.name
<block:extraplanets:rhea_gravel>, Rhea Gravel
<block:extraplanets:salt>, Liquid Crystallized Water
<block:extraplanets:saturn>, tile.saturn.name
<block:extraplanets:saturn_gravel>, Saturn Gravel
<block:extraplanets:saturn_spawner>, tile.boss_spawner_saturn.name
<block:extraplanets:saturn_stairs_stone>, Saturn Stone Stairs
<block:extraplanets:saturn_stairs_stone_bricks>, Saturn Stone Bricks Stairs
<block:extraplanets:saturn_stairs_sub_surface>, Saturn Sub Surface Stairs
<block:extraplanets:saturn_stairs_surface>, Saturn Surface Stairs
<block:extraplanets:solar>, tile.solar.name
<block:extraplanets:titan>, tile.titan.name
<block:extraplanets:titan_gravel>, Titan Gravel
<block:extraplanets:titania>, tile.titania.name
<block:extraplanets:titania_gravel>, Titania Gravel
<block:extraplanets:treasure_chest_t10>, Tier 10 Treasure Chest
<block:extraplanets:treasure_chest_t4>, Tier 4 Treasure Chest
<block:extraplanets:treasure_chest_t5>, Tier 5 Treasure Chest
<block:extraplanets:treasure_chest_t6>, Tier 6 Treasure Chest
<block:extraplanets:treasure_chest_t7>, Tier 7 Treasure Chest
<block:extraplanets:treasure_chest_t8>, Tier 8 Treasure Chest
<block:extraplanets:treasure_chest_t9>, Tier 9 Treasure Chest
<block:extraplanets:triton>, tile.triton.name
<block:extraplanets:triton_gravel>, Triton Gravel
<block:extraplanets:ultimate_fuel_loader>, Ultimate Fuel Loader
<block:extraplanets:ultimate_oxygen_compressor>, tile.ultimate_oxygen_compressor.name
<block:extraplanets:ultimate_refinery>, Ultimate Refinery
<block:extraplanets:uranus>, tile.uranus.name
<block:extraplanets:uranus_spawner>, tile.boss_spawner_uranus.name
<block:extraplanets:uranus_stairs_stone>, Uranus Stone Stairs
<block:extraplanets:uranus_stairs_stone_bricks>, Uranus Stone Bricks Stairs
<block:extraplanets:uranus_stairs_sub_surface>, Uranus Sub Surface Stairs
<block:extraplanets:uranus_stairs_surface>, Uranus Surface Stairs
<block:extraplanets:vehicle_charger>, Vehicle Charger
<block:extraplanets:volcanic_rock>, Volcanic Rock
<block:extraplanets:white_sugar_cane>, White Sugar Cane Block
<block:forgemultipartcbe:multipart_block>, tile.null.name
<block:galacticraftcore:air_lock_frame>, Air Lock Frame
<block:galacticraftcore:air_lock_seal>, Air Lock Seal
<block:galacticraftcore:aluminum_wire>, tile.aluminum_wire.name
<block:galacticraftcore:arclamp>, Arc Lamp
<block:galacticraftcore:basic_block_core>, tile.basic_block_core.name
<block:galacticraftcore:basic_block_moon>, tile.basic_block_moon.name
<block:galacticraftcore:block_multi>, tile.block_multi.name
<block:galacticraftcore:boss_spawner>, tile.boss_spawner.name
<block:galacticraftcore:breatheable_air>, tile.breatheable_air.name
<block:galacticraftcore:bright_air>, tile.bright_air.name
<block:galacticraftcore:bright_breathable_air>, tile.bright_breathable_air.name
<block:galacticraftcore:cargo>, tile.cargo.name
<block:galacticraftcore:cheese>, Block of Cheese
<block:galacticraftcore:collector>, Oxygen Collector
<block:galacticraftcore:concealed_detector>, Player Detector
<block:galacticraftcore:concealed_redstone>, Hidden Redstone Wire
<block:galacticraftcore:concealed_repeater>, Redstone Repeater
<block:galacticraftcore:concealed_repeater_pow>, Redstone Repeater
<block:galacticraftcore:crude_oil_still>, Crude Oil
<block:galacticraftcore:dishbase>, Communications Dish
