+----------------------------------------------------+----------+-------------------------------------------+------------------------------------------------------------------+---------------------------------------------+
| Registry name                                      | Meta/dmg | Display name                              | Ore Dict Keys                                                    | NBT                                         |
| brewcraft:honeymeaditem                            |        0 | Honey Mead                                | alcoholHoneymead                                                 |                                             |
| brewcraft:hopsitem                                 |        0 | Hops                                      | cropHops                                                         |                                             |
| brewcraft:hopsseeditem                             |        0 | Hops Seed                                 | seedHops                                                         |                                             |
| brewcraft:malortitem                               |        0 | Mal§ko§rrt                                | alcoholMalort                                                    |                                             |
| brewcraft:pinkmoscatoitem                          |        0 | Pink Moscato                              | alcoholPinkmoscato                                               |                                             |
| brewcraft:pmaxrieslingitem                         |        0 | P Max Riesling                            | alcoholPmaxriesling                                              |                                             |
| brewcraft:pointthreeryeitem                        |        0 | Point Three Rye                           | alcoholPointthreerye                                             |                                             |
| brewcraft:preparedbeachrummixitem                  |        0 | Prepared Beach Rum Mix                    | preparedBeachrum                                                 |                                             |
| brewcraft:preparedblackholewhiskeymixitem          |        0 | Prepared Black Hole Whiskey Mix           | preparedBlackholewhiskey                                         |                                             |
| brewcraft:preparedbluebeermixitem                  |        0 | Prepared Blue Beer Mix                    | preparedBluebeer                                                 |                                             |
| brewcraft:preparedborgiaabsinthemixitem            |        0 | Prepared Borgia Absinthe Mix              | preparedBorgiaabsinthe                                           |                                             |
| brewcraft:preparedcherryvodkamixitem               |        0 | Prepared Cherry Vodka Mix                 | preparedCherryvodka                                              |                                             |
| brewcraft:preparedcoconutrummixitem                |        0 | Prepared Coconut Rum Mix                  | preparedCoconutrumm                                              |                                             |
| brewcraft:preparedghostpepperabsinthemixitem       |        0 | Prepared Ghost Pepper Absinthe Mix        | preparedGhostpepperabsinthe                                      |                                             |
| brewcraft:preparedgoldschlagermixitem              |        0 | Prepared Gold Schlager Mix                | preparedGoldschlager                                             |                                             |
| brewcraft:preparedhandmadevodkamixitem             |        0 | Prepared Handmade Vodka Mix               | preparedHandmadevodkam                                           |                                             |
| brewcraft:preparedhardapplecidermixitem            |        0 | Prepared Hard Apple Cider Mix             | preparedHardapplecider                                           |                                             |
| brewcraft:preparedhardlemonademixitem              |        0 | Prepared Hard Lemonade Mix                | preparedHardlemonade                                             |                                             |
| brewcraft:preparedhoneymeadmixitem                 |        0 | Prepared Honey Mead Mix                   | preparedHoneymead                                                |                                             |
| brewcraft:preparedmalortmixitem                    |        0 | Prepared Mal§ko§rrt Mix                   | preparedMalort                                                   |                                             |
| brewcraft:preparedpinkmoscatomixitem               |        0 | Prepared Pink Moscato Mix                 | preparedPinkmoscato                                              |                                             |
| brewcraft:preparedpmaxrieslingmixitem              |        0 | Prepared P Max Riesling Mix               | preparedPmaxriesling                                             |                                             |
| brewcraft:preparedpointthreeryemixitem             |        0 | Prepared Point Three Rye Mix              | preparedPointthreerye                                            |                                             |
| brewcraft:preparedredbeermixitem                   |        0 | Prepared Red Beer Mix                     | preparedRedbeer                                                  |                                             |
| brewcraft:preparedrennalgoldmixitem                |        0 | Prepared Rennal Gold Mix                  | preparedRennalgold                                               |                                             |
| brewcraft:preparedriverchardonnaymixitem           |        0 | Prepared River Chardonnay Mix             | preparedRiverchardonnay                                          |                                             |
| brewcraft:preparedsakemixitem                      |        0 | Prepared Sake Mix                         | preparedSake                                                     |                                             |
| brewcraft:preparedsavannazinfandelmixitem          |        0 | Prepared Savanna Zinfandel Mix            | preparedSavannazinfandel                                         |                                             |
| brewcraft:preparedspicedrummixitem                 |        0 | Prepared Spiced Rum Mix                   | preparedSpicedrum                                                |                                             |
| brewcraft:preparedswampmerlotmixitem               |        0 | Prepared Swamp Merlot Mix                 | preparedSwampmerlot                                              |                                             |
| brewcraft:preparedtiagapinotnoirmixitem            |        0 | Prepared Tiaga Pinot Noir Mix             | preparedTiagapinotnoir                                           |                                             |
| brewcraft:preparedtotalvodkamixitem                |        0 | Prepared Total Vodka Mix                  | preparedTotalvodka                                               |                                             |
| brewcraft:prepareduglyavocadoginmixitem            |        0 | Prepared Ugly Avocado Gin Mix             | preparedUglyavocadogin                                           |                                             |
| brewcraft:redbeeritem                              |        0 | Red Beer                                  | alcoholRedbeer                                                   |                                             |
| brewcraft:rennalgolditem                           |        0 | Rennal Gold                               | alcoholRennalgold                                                |                                             |
| brewcraft:riverchardonnayitem                      |        0 | River Chardonnay                          | alcoholRiverchardonnay                                           |                                             |
| brewcraft:sakeitem                                 |        0 | Sake                                      | alcoholSake                                                      |                                             |
| brewcraft:savannazinfandelitem                     |        0 | Savanna Zinfandel                         | alcoholSavannazinfandel                                          |                                             |
| brewcraft:spicedrumitem                            |        0 | Spiced Rum                                | alcoholSpicedrum                                                 |                                             |
| brewcraft:swampmerlotitem                          |        0 | Swamp Merlot                              | alcoholSwampmerlot                                               |                                             |
| brewcraft:tiagapinotnoiritem                       |        0 | Tiaga Pinot Noir                          | alcoholTiagapinotnoir                                            |                                             |
| brewcraft:totalvodkaitem                           |        0 | Total Vodka                               | alcoholTotalvodka                                                |                                             |
| brewcraft:uglyavocadoginitem                       |        0 | Ugly Avocado Gin                          | alcoholUglyavocadogin                                            |                                             |
| chisel:andesite                                    |        0 | Andesite                                  | stoneAndesite,stoneAndesitePolished                              |                                             |
| chisel:andesite                                    |        1 | Andesite                                  | stoneAndesite,stoneAndesitePolished                              |                                             |
| chisel:andesite                                    |        2 | Andesite                                  | stoneAndesite,stoneAndesitePolished                              |                                             |
| chisel:andesite                                    |        3 | Andesite                                  | stoneAndesite,stoneAndesitePolished                              |                                             |
| chisel:andesite                                    |        4 | Andesite                                  | stoneAndesite,stoneAndesitePolished                              |                                             |
| chisel:andesite                                    |        5 | Andesite                                  | stoneAndesite,stoneAndesitePolished                              |                                             |
| chisel:andesite                                    |        6 | Andesite                                  | stoneAndesite,stoneAndesitePolished                              |                                             |
| chisel:andesite                                    |        7 | Andesite                                  | stoneAndesite,stoneAndesitePolished                              |                                             |
| chisel:andesite                                    |        8 | Andesite                                  | stoneAndesite,stoneAndesitePolished                              |                                             |
| chisel:andesite                                    |        9 | Andesite                                  | stoneAndesite,stoneAndesitePolished                              |                                             |
| chisel:andesite                                    |       10 | Andesite                                  | stoneAndesite,stoneAndesitePolished                              |                                             |
| chisel:andesite                                    |       11 | Andesite                                  | stoneAndesite,stoneAndesitePolished                              |                                             |
| chisel:andesite                                    |       12 | Andesite                                  | stoneAndesite,stoneAndesitePolished                              |                                             |
| chisel:andesite                                    |       13 | Andesite                                  | stoneAndesite,stoneAndesitePolished                              |                                             |
| chisel:andesite                                    |       14 | Andesite                                  | stoneAndesite,stoneAndesitePolished                              |                                             |
| chisel:andesite                                    |       15 | Andesite                                  | stoneAndesite,stoneAndesitePolished                              |                                             |
| chisel:andesite1                                   |        0 | Andesite                                  | stoneAndesite,stoneAndesitePolished                              |                                             |
| chisel:andesite1                                   |        1 | Andesite                                  | stoneAndesite,stoneAndesitePolished                              |                                             |
| chisel:andesite1                                   |        2 | Andesite                                  | stoneAndesite,stoneAndesitePolished                              |                                             |
| chisel:andesite1                                   |        3 | Andesite                                  | stoneAndesite,stoneAndesitePolished                              |                                             |
| chisel:andesite1                                   |        4 | Andesite                                  | stoneAndesite,stoneAndesitePolished                              |                                             |
| chisel:andesite1                                   |        5 | Andesite                                  | stoneAndesite,stoneAndesitePolished                              |                                             |
| chisel:andesite1                                   |        6 | Andesite                                  | stoneAndesite,stoneAndesitePolished                              |                                             |
| chisel:andesite1                                   |        7 | Andesite                                  | stoneAndesite,stoneAndesitePolished                              |                                             |
| chisel:andesite1                                   |        8 | Andesite                                  | stoneAndesite,stoneAndesitePolished                              |                                             |
| chisel:andesite1                                   |        9 | Andesite                                  | stoneAndesite,stoneAndesitePolished                              |                                             |
| chisel:andesite1                                   |       10 | Andesite                                  | stoneAndesite,stoneAndesitePolished                              |                                             |
| chisel:andesite1                                   |       11 | Andesite                                  | stoneAndesite,stoneAndesitePolished                              |                                             |
| chisel:andesite1                                   |       12 | Andesite                                  | stoneAndesite,stoneAndesitePolished                              |                                             |
| chisel:andesite1                                   |       13 | Andesite                                  | stoneAndesite,stoneAndesitePolished                              |                                             |
| chisel:andesite1                                   |       14 | Andesite                                  | stoneAndesite,stoneAndesitePolished                              |                                             |
| chisel:andesite1                                   |       15 | Andesite                                  | stoneAndesite,stoneAndesitePolished                              |                                             |
| chisel:andesite2                                   |        0 | Andesite                                  | stoneAndesite,stoneAndesitePolished                              |                                             |
| chisel:basalt                                      |        0 | Basalt                                    | stoneBasalt,stoneBasaltPolished                                  |                                             |
| chisel:basalt                                      |        1 | Basalt                                    | stoneBasalt,stoneBasaltPolished                                  |                                             |
| chisel:basalt                                      |        2 | Basalt                                    | stoneBasalt,stoneBasaltPolished                                  |                                             |
| chisel:basalt                                      |        3 | Basalt                                    | stoneBasalt,stoneBasaltPolished                                  |                                             |
| chisel:basalt                                      |        4 | Basalt                                    | stoneBasalt,stoneBasaltPolished                                  |                                             |
| chisel:basalt                                      |        5 | Basalt                                    | stoneBasalt,stoneBasaltPolished                                  |                                             |
| chisel:basalt                                      |        6 | Basalt                                    | stoneBasalt,stoneBasaltPolished                                  |                                             |
| chisel:basalt                                      |        7 | Basalt                                    | stoneBasalt,stoneBasaltPolished                                  |                                             |
| chisel:basalt                                      |        8 | Basalt                                    | stoneBasalt,stoneBasaltPolished                                  |                                             |
| chisel:basalt                                      |        9 | Basalt                                    | stoneBasalt,stoneBasaltPolished                                  |                                             |
| chisel:basalt                                      |       10 | Basalt                                    | stoneBasalt,stoneBasaltPolished                                  |                                             |
| chisel:basalt                                      |       11 | Basalt                                    | stoneBasalt,stoneBasaltPolished                                  |                                             |
| chisel:basalt                                      |       12 | Basalt                                    | stoneBasalt,stoneBasaltPolished                                  |                                             |
| chisel:basalt                                      |       13 | Basalt                                    | stoneBasalt,stoneBasaltPolished                                  |                                             |
| chisel:basalt                                      |       14 | Basalt                                    | stoneBasalt,stoneBasaltPolished                                  |                                             |
| chisel:basalt                                      |       15 | Basalt                                    | stoneBasalt,stoneBasaltPolished                                  |                                             |
| chisel:basalt1                                     |        0 | Basalt                                    | stoneBasalt,stoneBasaltPolished                                  |                                             |
| chisel:basalt1                                     |        1 | Basalt                                    | stoneBasalt,stoneBasaltPolished                                  |                                             |
| chisel:basalt1                                     |        2 | Basalt                                    | stoneBasalt,stoneBasaltPolished                                  |                                             |
| chisel:basalt1                                     |        3 | Basalt                                    | stoneBasalt,stoneBasaltPolished                                  |                                             |
| chisel:basalt1                                     |        4 | Basalt                                    | stoneBasalt,stoneBasaltPolished                                  |                                             |
| chisel:basalt1                                     |        5 | Basalt                                    | stoneBasalt,stoneBasaltPolished                                  |                                             |
| chisel:basalt1                                     |        6 | Basalt                                    | stoneBasalt,stoneBasaltPolished                                  |                                             |
| chisel:basalt1                                     |        7 | Basalt                                    | stoneBasalt,stoneBasaltPolished                                  |                                             |
| chisel:basalt1                                     |        8 | Basalt                                    | stoneBasalt,stoneBasaltPolished                                  |                                             |
| chisel:basalt1                                     |        9 | Basalt                                    | stoneBasalt,stoneBasaltPolished                                  |                                             |
| chisel:basalt2                                     |        0 | Basalt                                    | stoneBasalt,stoneBasaltPolished                                  |                                             |
| chisel:basalt2                                     |        1 | Basalt                                    | stoneBasalt,stoneBasaltPolished                                  |                                             |
| chisel:basalt2                                     |        2 | Basalt                                    | stoneBasalt,stoneBasaltPolished                                  |                                             |
| chisel:basalt2                                     |        3 | Basalt                                    | stoneBasalt,stoneBasaltPolished                                  |                                             |
| chisel:basalt2                                     |        4 | Basalt                                    | stoneBasalt,stoneBasaltPolished                                  |                                             |
| chisel:basalt2                                     |        5 | Basalt                                    | stoneBasalt,stoneBasaltPolished                                  |                                             |
| chisel:basalt2                                     |        6 | Basalt                                    | stoneBasalt,stoneBasaltPolished                                  |                                             |
| chisel:basalt2                                     |        7 | Basalt                                    | stoneBasalt,stoneBasaltPolished                                  |                                             |
| chisel:block_charcoal                              |        0 | Block of Charcoal                         | blockCharcoal                                                    |                                             |
| chisel:block_charcoal                              |        1 | Block of Charcoal                         | blockCharcoal                                                    |                                             |
| chisel:block_charcoal                              |        2 | Block of Charcoal                         | blockCharcoal                                                    |                                             |
| chisel:block_charcoal                              |        3 | Block of Charcoal                         | blockCharcoal                                                    |                                             |
| chisel:block_charcoal                              |        4 | Block of Charcoal                         | blockCharcoal                                                    |                                             |
| chisel:block_charcoal                              |        5 | Block of Charcoal                         | blockCharcoal                                                    |                                             |
| chisel:block_charcoal                              |        6 | Block of Charcoal                         | blockCharcoal                                                    |                                             |
| chisel:block_charcoal                              |        7 | Block of Charcoal                         | blockCharcoal                                                    |                                             |
| chisel:block_charcoal                              |        8 | Block of Charcoal                         | blockCharcoal                                                    |                                             |
| chisel:block_charcoal                              |        9 | Block of Charcoal                         | blockCharcoal                                                    |                                             |
| chisel:block_charcoal                              |       10 | Block of Charcoal                         | blockCharcoal                                                    |                                             |
| chisel:block_charcoal                              |       11 | Block of Charcoal                         | blockCharcoal                                                    |                                             |
| chisel:block_charcoal                              |       12 | Block of Charcoal                         | blockCharcoal                                                    |                                             |
| chisel:block_charcoal                              |       13 | Block of Charcoal                         | blockCharcoal                                                    |                                             |
| chisel:block_charcoal                              |       14 | Block of Charcoal                         | blockCharcoal                                                    |                                             |
| chisel:block_charcoal                              |       15 | Block of Charcoal                         | blockCharcoal                                                    |                                             |
| chisel:block_charcoal1                             |        0 | Block of Charcoal                         | blockCharcoal                                                    |                                             |
| chisel:block_charcoal1                             |        1 | Block of Charcoal                         | blockCharcoal                                                    |                                             |
| chisel:block_charcoal1                             |        2 | Block of Charcoal                         | blockCharcoal                                                    |                                             |
| chisel:block_charcoal1                             |        3 | Block of Charcoal                         | blockCharcoal                                                    |                                             |
| chisel:block_charcoal1                             |        4 | Block of Charcoal                         | blockCharcoal                                                    |                                             |
| chisel:block_charcoal1                             |        5 | Block of Charcoal                         | blockCharcoal                                                    |                                             |
| chisel:block_charcoal1                             |        6 | Block of Charcoal                         | blockCharcoal                                                    |                                             |
| chisel:block_charcoal1                             |        7 | Block of Charcoal                         | blockCharcoal                                                    |                                             |
| chisel:block_charcoal1                             |        8 | Block of Charcoal                         | blockCharcoal                                                    |                                             |
| chisel:block_charcoal1                             |        9 | Block of Charcoal                         | blockCharcoal                                                    |                                             |
| chisel:block_charcoal1                             |       10 | Block of Charcoal                         | blockCharcoal                                                    |                                             |
| chisel:block_charcoal1                             |       11 | Block of Charcoal                         | blockCharcoal                                                    |                                             |
| chisel:block_charcoal1                             |       12 | Block of Charcoal                         | blockCharcoal                                                    |                                             |
| chisel:block_charcoal1                             |       13 | Block of Charcoal                         | blockCharcoal                                                    |                                             |
| chisel:block_charcoal1                             |       14 | Block of Charcoal                         | blockCharcoal                                                    |                                             |
| chisel:block_charcoal1                             |       15 | Block of Charcoal                         | blockCharcoal                                                    |                                             |
| chisel:block_charcoal2                             |        0 | Block of Charcoal                         | blockCharcoal                                                    |                                             |
| chisel:block_charcoal2                             |        1 | Block of Charcoal                         | blockCharcoal                                                    |                                             |
| chisel:block_coal                                  |        0 | Block of Coal                             | blockCoal                                                        |                                             |
| chisel:block_coal                                  |        1 | Block of Coal                             | blockCoal                                                        |                                             |
| chisel:block_coal                                  |        2 | Block of Coal                             | blockCoal                                                        |                                             |
| chisel:block_coal                                  |        3 | Block of Coal                             | blockCoal                                                        |                                             |
| chisel:block_coal                                  |        4 | Block of Coal                             | blockCoal                                                        |                                             |
| chisel:block_coal                                  |        5 | Block of Coal                             | blockCoal                                                        |                                             |
| chisel:block_coal                                  |        6 | Block of Coal                             | blockCoal                                                        |                                             |
| chisel:block_coal                                  |        7 | Block of Coal                             | blockCoal                                                        |                                             |
| chisel:block_coal                                  |        8 | Block of Coal                             | blockCoal                                                        |                                             |
| chisel:block_coal                                  |        9 | Block of Coal                             | blockCoal                                                        |                                             |
| chisel:block_coal                                  |       10 | Block of Coal                             | blockCoal                                                        |                                             |
| chisel:block_coal                                  |       11 | Block of Coal                             | blockCoal                                                        |                                             |
| chisel:block_coal                                  |       12 | Block of Coal                             | blockCoal                                                        |                                             |
| chisel:block_coal                                  |       13 | Block of Coal                             | blockCoal                                                        |                                             |
| chisel:block_coal                                  |       14 | Block of Coal                             | blockCoal                                                        |                                             |
| chisel:block_coal                                  |       15 | Block of Coal                             | blockCoal                                                        |                                             |
| chisel:block_coal1                                 |        0 | Block of Coal                             | blockCoal                                                        |                                             |
| chisel:block_coal1                                 |        1 | Block of Coal                             | blockCoal                                                        |                                             |
| chisel:block_coal1                                 |        2 | Block of Coal                             | blockCoal                                                        |                                             |
| chisel:block_coal1                                 |        3 | Block of Coal                             | blockCoal                                                        |                                             |
| chisel:block_coal1                                 |        4 | Block of Coal                             | blockCoal                                                        |                                             |
| chisel:block_coal1                                 |        5 | Block of Coal                             | blockCoal                                                        |                                             |
| chisel:block_coal1                                 |        6 | Block of Coal                             | blockCoal                                                        |                                             |
| chisel:block_coal1                                 |        7 | Block of Coal                             | blockCoal                                                        |                                             |
| chisel:block_coal1                                 |        8 | Block of Coal                             | blockCoal                                                        |                                             |
| chisel:block_coal1                                 |        9 | Block of Coal                             | blockCoal                                                        |                                             |
| chisel:block_coal1                                 |       10 | Block of Coal                             | blockCoal                                                        |                                             |
| chisel:block_coal1                                 |       11 | Block of Coal                             | blockCoal                                                        |                                             |
| chisel:block_coal1                                 |       12 | Block of Coal                             | blockCoal                                                        |                                             |
| chisel:block_coal1                                 |       13 | Block of Coal                             | blockCoal                                                        |                                             |
| chisel:block_coal1                                 |       14 | Block of Coal                             | blockCoal                                                        |                                             |
| chisel:block_coal1                                 |       15 | Block of Coal                             | blockCoal                                                        |                                             |
| chisel:block_coal2                                 |        0 | Block of Coal                             | blockCoal                                                        |                                             |
| chisel:block_coal2                                 |        1 | Block of Coal                             | blockCoal                                                        |                                             |
| chisel:block_coal_coke                             |        0 | Block of Coal Coke                        | blockCoalCoke,blockFuelCoke                                      |                                             |
| chisel:block_coal_coke                             |        1 | Block of Coal Coke                        | blockCoalCoke,blockFuelCoke                                      |                                             |
| chisel:block_coal_coke                             |        2 | Block of Coal Coke                        | blockCoalCoke,blockFuelCoke                                      |                                             |
| chisel:block_coal_coke                             |        3 | Block of Coal Coke                        | blockCoalCoke,blockFuelCoke                                      |                                             |
| chisel:block_coal_coke                             |        4 | Block of Coal Coke                        | blockCoalCoke,blockFuelCoke                                      |                                             |
| chisel:block_coal_coke                             |        5 | Block of Coal Coke                        | blockCoalCoke,blockFuelCoke                                      |                                             |
| chisel:block_coal_coke                             |        6 | Block of Coal Coke                        | blockCoalCoke,blockFuelCoke                                      |                                             |
| chisel:block_coal_coke                             |        7 | Block of Coal Coke                        | blockCoalCoke,blockFuelCoke                                      |                                             |
| chisel:block_coal_coke                             |        8 | Block of Coal Coke                        | blockCoalCoke,blockFuelCoke                                      |                                             |
| chisel:block_coal_coke                             |        9 | Block of Coal Coke                        | blockCoalCoke,blockFuelCoke                                      |                                             |
| chisel:block_coal_coke                             |       10 | Block of Coal Coke                        | blockCoalCoke,blockFuelCoke                                      |                                             |
| chisel:block_coal_coke                             |       11 | Block of Coal Coke                        | blockCoalCoke,blockFuelCoke                                      |                                             |
| chisel:block_coal_coke                             |       12 | Block of Coal Coke                        | blockCoalCoke,blockFuelCoke                                      |                                             |
| chisel:block_coal_coke                             |       13 | Block of Coal Coke                        | blockCoalCoke,blockFuelCoke                                      |                                             |
| chisel:block_coal_coke                             |       14 | Block of Coal Coke                        | blockCoalCoke,blockFuelCoke                                      |                                             |
| chisel:block_coal_coke                             |       15 | Block of Coal Coke                        | blockCoalCoke,blockFuelCoke                                      |                                             |
| chisel:block_coal_coke1                            |        0 | Block of Coal Coke                        | blockCoalCoke,blockFuelCoke                                      |                                             |
| chisel:block_coal_coke1                            |        1 | Block of Coal Coke                        | blockCoalCoke,blockFuelCoke                                      |                                             |
| chisel:block_coal_coke1                            |        2 | Block of Coal Coke                        | blockCoalCoke,blockFuelCoke                                      |                                             |
| chisel:block_coal_coke1                            |        3 | Block of Coal Coke                        | blockCoalCoke,blockFuelCoke                                      |                                             |
| chisel:block_coal_coke1                            |        4 | Block of Coal Coke                        | blockCoalCoke,blockFuelCoke                                      |                                             |
| chisel:block_coal_coke1                            |        5 | Block of Coal Coke                        | blockCoalCoke,blockFuelCoke                                      |                                             |
| chisel:block_coal_coke1                            |        6 | Block of Coal Coke                        | blockCoalCoke,blockFuelCoke                                      |                                             |
| chisel:block_coal_coke1                            |        7 | Block of Coal Coke                        | blockCoalCoke,blockFuelCoke                                      |                                             |
