+-----+--------------------------------------------+-------------------------------+-------+----------+------+-------+---------+------------+-------------------------------------------------------------------+----------------------------+
|  ID | Registry name                              | Biome name                    | temp. | temp cat | rain |  snow | oceanic | BiomeType  | BiomeDictionary.Type                                              | Valid for                  |
| 158 | minecraft:mutated_taiga_cold               | Cold Taiga M                  | -0.50 | COLD     | 0.40 |  true | false   |            | COLD, CONIFEROUS, FOREST, MOUNTAIN, RARE, SNOWY                   | stronghold                 |
| 159 | extraplanets:outer space 3                 | Kepler22b Diamond Plains      |  0.50 | MEDIUM   | 0.00 | false | false   |            | COLD, DENSE, DRY, LUSH                                            | stronghold                 |
| 160 | minecraft:mutated_redwood_taiga            | Mega Spruce Taiga             |  0.25 | MEDIUM   | 0.80 | false | false   |            | DENSE, FOREST, MEGA_TAIGA_SPRUCE_TREES, RARE, THEMED_TREES        | stronghold                 |
| 161 | minecraft:mutated_redwood_taiga_hills      | Redwood Taiga Hills M         |  0.25 | MEDIUM   | 0.80 | false | false   |            | DENSE, FOREST, HILLS, MEGA_TAIGA_SPRUCE_TREES, RARE, THEMED_TREES | stronghold                 |
| 162 | minecraft:mutated_extreme_hills_with_trees | Extreme Hills+ M              |  0.20 | MEDIUM   | 0.30 | false | false   |            | MOUNTAIN, RARE, SPARSE                                            | stronghold                 |
| 163 | minecraft:mutated_savanna                  | Savanna M                     |  1.10 | WARM     | 0.00 | false | false   |            | DRY, HOT, MOUNTAIN, RARE, SAVANNA, SPARSE                         | stronghold                 |
| 164 | minecraft:mutated_savanna_rock             | Savanna Plateau M             |  1.00 | WARM     | 0.00 | false | false   |            | DRY, HILLS, HOT, RARE, SAVANNA, SPARSE                            | stronghold                 |
| 165 | minecraft:mutated_mesa                     | Mesa (Bryce)                  |  2.00 | WARM     | 0.00 | false | false   |            | DRY, HOT, MOUNTAIN, RARE, SPARSE                                  | stronghold                 |
| 166 | minecraft:mutated_mesa_rock                | Mesa Plateau F M              |  2.00 | WARM     | 0.00 | false | false   |            | DRY, HILLS, HOT, RARE, SPARSE                                     | stronghold                 |
| 167 | minecraft:mutated_mesa_clear_rock          | Mesa Plateau M                |  2.00 | WARM     | 0.00 | false | false   |            | DRY, HOT, MOUNTAIN, RARE, SPARSE                                  | stronghold                 |
| 168 | extraplanets:outer space 4                 | Kepler22b Emerald Plains      |  0.50 | MEDIUM   | 0.00 | false | false   |            | COLD, DENSE, DRY, LUSH                                            | stronghold                 |
| 169 | extraplanets:outer space 5                 | Kepler22b Gold Plains         |  0.50 | MEDIUM   | 0.00 | false | false   |            | COLD, DENSE, DRY, LUSH                                            | stronghold                 |
| 170 | extraplanets:outer space 6                 | Kepler22b Iron Plains         |  0.50 | MEDIUM   | 0.00 | false | false   |            | COLD, DENSE, DRY, LUSH                                            | stronghold                 |
| 171 | extraplanets:outer space 7                 | Kepler22b Plains              |  0.50 | MEDIUM   | 0.00 | false | false   |            | COLD, DEAD, DRY                                                   | stronghold                 |
| 172 | extraplanets:outer space 8                 | Kepler22b Purple Maple Forest |  0.50 | MEDIUM   | 0.00 | false | false   |            | COLD, DEAD, FOREST                                                | stronghold                 |
| 173 | extraplanets:outer space 9                 | Kepler22b Red Desert          |  0.50 | MEDIUM   | 0.00 | false | false   |            | COLD, DEAD, DRY, SANDY                                            | stronghold                 |
| 174 | extraplanets:outer space 10                | Kepler22b Red Maple Forest    |  0.50 | MEDIUM   | 0.00 | false | false   |            | COLD, DEAD, FOREST                                                | stronghold                 |
| 175 | extraplanets:outer space 11                | Kepler22b WasteLands          |  0.80 | MEDIUM   | 0.90 | false | false   |            | COLD, DEAD, WASTELAND, WET                                        |                            |
| 176 | extraplanets:outer space 12                | Kepler22b Yellow Maple Forest |  0.50 | MEDIUM   | 0.00 | false | false   |            | COLD, DEAD, FOREST                                                | stronghold                 |
| 177 | netherex:ruthless_sands                    | Ruthless Sands                |  2.00 | WARM     | 0.00 | false | false   |            | DRY, HOT, NETHER, SANDY                                           | stronghold                 |
| 178 | netherex:fungi_forest                      | Fungi Forest                  |  1.10 | WARM     | 0.00 | false | false   |            | COLD, MUSHROOM, NETHER, WET                                       | stronghold                 |
| 179 | netherex:torrid_wasteland                  | Torrid Wasteland              |  4.00 | WARM     | 0.00 | false | false   |            | DRY, HOT, NETHER, WASTELAND                                       | stronghold                 |
| 180 | netherex:arctic_abyss                      | Arctic Abyss                  |  0.00 | COLD     | 0.00 | false | false   |            | COLD, NETHER, WET                                                 | stronghold                 |
| 181 | aroma1997sdimension:miningbiome            | miningBiome                   |  0.50 | MEDIUM   | 0.50 | false | false   |            | PLAINS                                                            | stronghold, village        |
+-----+--------------------------------------------+-------------------------------+-------+----------+------+-------+---------+------------+-------------------------------------------------------------------+----------------------------+
|  ID | Registry name                              | Biome name                    | temp. | temp cat | rain |  snow | oceanic | BiomeType  | BiomeDictionary.Type                                              | Valid for                  |
+-----+--------------------------------------------+-------------------------------+-------+----------+------+-------+---------+------------+-------------------------------------------------------------------+----------------------------+
