+-----+--------------------------------------------+-------------------------------+-------+----------+------+-------+---------+------------+-------------------------------------------------------------------+----------------------------+-------------------------+-------------------------+-------------------------+
|  ID | Registry name                              | Biome name                    | temp. | temp cat | rain |  snow | oceanic | BiomeType  | BiomeDictionary.Type                                              | Valid for                  | waterColorMultiplier    | grassColorMultiplier    | foliageColorMultiplier  |
|  98 | biomesoplenty:pasture                      | Pasture                       |  0.80 | MEDIUM   | 0.30 | false | false   |            | DRY, PLAINS, SPARSE                                               | spawn                      | 0x00FFFFFF (  16777215) | 0xFF99BB5B (  -6702245) | 0xFF81A932 (  -8279758) |
|  99 | biomesoplenty:glacier                      | Glacier                       | -0.50 | COLD     | 0.20 | false | false   |            | COLD, SNOWY, WASTELAND                                            | stronghold                 | 0x00FFFFFF (  16777215) | 0xFF80B497 (  -8342377) | 0xFF60A17B ( -10444421) |
| 100 | biomesoplenty:oasis                        | Oasis                         |  2.00 | WARM     | 0.50 | false | false   |            | HOT, JUNGLE, LUSH, SANDY, SPARSE, WET                             |                            | 0x00FFFFFF (  16777215) | 0xFF82C245 (  -8207803) | 0xFF64B216 ( -10178026) |
| 101 | biomesoplenty:snowy_tundra                 | SnowyTundra                   |  0.00 | COLD     | 0.50 | false | false   |            | COLD, DEAD, SNOWY, SPARSE, WASTELAND, WET                         |                            | 0x00FFFFFF (  16777215) | 0xFF80B497 (  -8342377) | 0xFF60A17B ( -10444421) |
| 102 | biomesoplenty:coral_reef                   | Coral Reef                    |  0.50 | MEDIUM   | 0.50 | false | false   |            | OCEAN, WATER                                                      |                            | 0x00FFFFFF (  16777215) | 0xFF8EB971 (  -7423631) | 0xFF71A74D (  -9328819) |
| 103 | biomesoplenty:kelp_forest                  | Kelp Forest                   |  0.50 | MEDIUM   | 0.50 | false | false   |            | OCEAN, WATER                                                      |                            | 0x00FFFFFF (  16777215) | 0xFF8EB971 (  -7423631) | 0xFF71A74D (  -9328819) |
| 104 | biomesoplenty:origin_island                | Origin Island                 |  0.60 | MEDIUM   | 0.60 | false | false   |            | FOREST, RARE, WATER                                               | spawn                      | 0x00FFFFFF (  16777215) | 0xFF88BB66 (  -7816346) | 0xFF6BA940 (  -9721536) |
| 105 | biomesoplenty:tropical_island              | Tropical Island               |  0.95 | MEDIUM   | 1.00 | false | false   |            | DENSE, JUNGLE, LUSH, WATER, WET                                   | spawn                      | 0x00FFFFFF (  16777215) | 0xFF4ECB39 ( -11613383) | 0xFF23BD07 ( -14435065) |
| 106 | biomesoplenty:volcanic_island              | Volcanic Island               |  1.20 | WARM     | 0.20 | false | false   |            | DEAD, DRY, HOT, MOUNTAIN, WASTELAND, WATER                        | stronghold                 | 0x00FFFFFF (  16777215) | 0xFFA6BB4E (  -5850290) | 0xFF91A922 (  -7231198) |
| 107 | biomesoplenty:flower_island                | Flower Island                 |  0.80 | MEDIUM   | 0.80 | false | false   |            | DENSE, LUSH, MAGICAL, PLAINS, WATER                               | stronghold                 | 0x00FFFFFF (  16777215) | 0xFF72C250 (  -9256368) | 0xFF4EB224 ( -11619804) |
| 108 | biomesoplenty:corrupted_sands              | Corrupted Sands               |  2.00 | WARM     | 0.00 | false | false   |            | DENSE, DRY, HOT, NETHER, SANDY                                    | stronghold                 | 0x00FFFFFF (  16777215) | 0xFFBFB755 (  -4212907) | 0xFFAEA42A (  -5331926) |
| 109 | biomesoplenty:fungi_forest                 | Fungi Forest                  |  2.00 | WARM     | 0.00 | false | false   |            | DENSE, HOT, MUSHROOM, NETHER                                      | stronghold                 | 0x00FFFFFF (  16777215) | 0xFFBFB755 (  -4212907) | 0xFFAEA42A (  -5331926) |
| 110 | biomesoplenty:phantasmagoric_inferno       | Phantasmagoric Inferno        |  2.00 | WARM     | 0.00 | false | false   |            | DRY, HOT, MAGICAL, NETHER, SPOOKY, WASTELAND                      | stronghold                 | 0x00FFFFFF (  16777215) | 0xFFBFB755 (  -4212907) | 0xFFAEA42A (  -5331926) |
| 111 | biomesoplenty:undergarden                  | Undergarden                   |  2.00 | WARM     | 0.00 | false | false   |            | HOT, LUSH, NETHER                                                 | stronghold                 | 0x00FFFFFF (  16777215) | 0xFFBFB755 (  -4212907) | 0xFFAEA42A (  -5331926) |
| 112 | biomesoplenty:visceral_heap                | Visceral Heap                 |  2.00 | WARM     | 0.00 | false | false   |            | HOT, NETHER, WET                                                  | stronghold                 | 0x00FFFFFF (  16777215) | 0xFFBFB755 (  -4212907) | 0xFFAEA42A (  -5331926) |
| 113 | atum:dead_oasis                            | Dead Oasis                    |  2.00 | WARM     | 0.00 | false | false   |            | ATUM, DEAD, DRY, HOT, RARE, SANDY, SPARSE                         | stronghold                 | 0x00FA9418 (  16421912) | 0x009B7A4A (  10189386) | 0x009B7A4A (  10189386) |
| 114 | atum:deadwood_forest                       | Deadwood Forest               |  2.00 | WARM     | 0.00 | false | false   |            | ATUM, DRY, FOREST, HOT, SANDY, SPARSE                             | stronghold                 | 0x00FA9418 (  16421912) | 0x00C4AE91 (  12889745) | 0x00C4AE91 (  12889745) |
| 115 | atum:dried_river                           | Dried River                   |  2.00 | WARM     | 0.00 | false | false   |            | ATUM, DRY, HOT, RIVER, SANDY, SPARSE, WATER                       |                            | 0x00FA9418 (  16421912) | 0x00C4AE91 (  12889745) | 0x00C4AE91 (  12889745) |
| 116 | atum:limestone_crags                       | Limestone Crags               |  2.00 | WARM     | 0.00 | false | false   |            | ATUM, DRY, HILLS, HOT, RARE, SANDY, SPARSE                        | stronghold                 | 0x00FA9418 (  16421912) | 0x00C4AE91 (  12889745) | 0x00C4AE91 (  12889745) |
| 117 | atum:limestone_mountains                   | Limestone Mountains           |  2.00 | WARM     | 0.00 | false | false   |            | ATUM, DRY, HOT, MOUNTAIN, SANDY, SPARSE                           | stronghold                 | 0x00FA9418 (  16421912) | 0x00C4AE91 (  12889745) | 0x00C4AE91 (  12889745) |
| 118 | atum:oasis                                 | Oasis                         |  2.00 | WARM     | 0.00 | false | false   |            | LUSH, OASIS, RARE, WET                                            | stronghold                 | 0x00FA9418 (  16421912) | 0x00B6EA75 (  11987573) | 0x00B6EA75 (  11987573) |
| 119 | atum:sand_dunes                            | Sand Dunes                    |  2.00 | WARM     | 0.00 | false | false   |            | ATUM, DRY, HILLS, HOT, SANDY, SPARSE                              | stronghold                 | 0x00FA9418 (  16421912) | 0x00C4AE91 (  12889745) | 0x00C4AE91 (  12889745) |
| 120 | atum:sand_hills                            | Sand Hills                    |  2.00 | WARM     | 0.00 | false | false   |            | ATUM, DRY, HILLS, HOT, SANDY, SPARSE                              | stronghold                 | 0x00FA9418 (  16421912) | 0x00C4AE91 (  12889745) | 0x00C4AE91 (  12889745) |
| 121 | atum:sand_plains                           | Sand Plains                   |  2.00 | WARM     | 0.00 | false | false   |            | ATUM, DRY, HOT, PLAINS, SANDY, SPARSE                             | stronghold                 | 0x00FA9418 (  16421912) | 0x00C4AE91 (  12889745) | 0x00C4AE91 (  12889745) |
| 122 | twilightforest:twilight_lake               | Twilight Lake                 |  0.66 | MEDIUM   | 1.00 | false | false   |            | OCEAN, TWILIGHT, WATER                                            |                            | 0x00FFFFFF (  16777215) | 0xFF70C15B (  -9387685) | 0xFF4CB031 ( -11751375) |
| 123 | twilightforest:twilight_forest             | Twilight Forest               |  0.50 | MEDIUM   | 0.50 | false | false   |            | FOREST, TWILIGHT                                                  | stronghold                 | 0x00FFFFFF (  16777215) | 0xFF8EB971 (  -7423631) | 0xFF71A74D (  -9328819) |
| 124 | twilightforest:dense_twilight_forest       | Dense Twilight Forest         |  0.70 | MEDIUM   | 0.80 | false | false   |            | DENSE, FOREST, TWILIGHT                                           | stronghold                 | 0x00005522 (     21794) | 0xFF79C05A (  -8798118) | 0xFF59AE30 ( -10899920) |
| 125 | twilightforest:twilight_highlands          | Twilight Highlands            |  0.40 | MEDIUM   | 0.70 | false | false   |            | CONIFEROUS, FOREST, MOUNTAIN, TWILIGHT                            | stronghold                 | 0x00FFFFFF (  16777215) | 0xFF88B977 (  -7816841) | 0xFF6AA755 (  -9787563) |
| 126 | twilightforest:mushroom_forest             | Mushroom Forest               |  0.80 | MEDIUM   | 0.80 | false | false   |            | FOREST, MUSHROOM, TWILIGHT                                        | stronghold                 | 0x00FFFFFF (  16777215) | 0xFF72C250 (  -9256368) | 0xFF4EB224 ( -11619804) |
| 127 | minecraft:void                             | The Void                      |  0.50 | MEDIUM   | 0.50 | false | false   |            | VOID                                                              | stronghold                 | 0x00FFFFFF (  16777215) | 0xFF8EB971 (  -7423631) | 0xFF71A74D (  -9328819) |
| 128 | twilightforest:twilight_swamp              | Twilight Swamp                |  0.80 | MEDIUM   | 0.90 | false | false   |            | SWAMP, TWILIGHT, WET                                              |                            | 0x00E0FFAE (  14745518) | 0xFF6AC44E (  -9780146) | 0xFF45B421 ( -12209119) |
| 129 | minecraft:mutated_plains                   | Sunflower Plains              |  0.80 | MEDIUM   | 0.40 | false | false   |            | PLAINS, RARE                                                      | stronghold                 | 0x00FFFFFF (  16777215) | 0xFF91BD59 (  -7226023) | 0xFF77AB2F (  -8934609) |
| 130 | minecraft:mutated_desert                   | Desert M                      |  2.00 | WARM     | 0.00 | false | false   |            | DRY, HOT, RARE, SANDY                                             | stronghold                 | 0x00FFFFFF (  16777215) | 0xFFBFB755 (  -4212907) | 0xFFAEA42A (  -5331926) |
| 131 | minecraft:mutated_extreme_hills            | Extreme Hills M               |  0.20 | MEDIUM   | 0.30 | false | false   |            | MOUNTAIN, RARE, SPARSE                                            | stronghold                 | 0x00FFFFFF (  16777215) | 0xFF8AB689 (  -7686519) | 0xFF6DA36B (  -9591957) |
| 132 | minecraft:mutated_forest                   | Flower Forest                 |  0.70 | MEDIUM   | 0.80 | false | false   |            | FOREST, HILLS, RARE                                               | stronghold                 | 0x00FFFFFF (  16777215) | 0xFF79C05A (  -8798118) | 0xFF59AE30 ( -10899920) |
| 133 | minecraft:mutated_taiga                    | Taiga M                       |  0.25 | MEDIUM   | 0.80 | false | false   |            | COLD, CONIFEROUS, FOREST, MOUNTAIN, RARE                          | stronghold                 | 0x00FFFFFF (  16777215) | 0xFF86B783 (  -7948413) | 0xFF68A464 (  -9919388) |
| 134 | minecraft:mutated_swampland                | Swampland M                   |  0.80 | MEDIUM   | 0.90 | false | false   |            | HILLS, RARE, SWAMP, WET                                           |                            | 0x00E0FFAE (  14745518) | 0xFF6AC44E (  -9780146) | 0xFF45B421 ( -12209119) |
| 135 | twilightforest:twilight_stream             | Twilight Stream               |  0.50 | MEDIUM   | 0.10 | false | false   |            | RIVER, TWILIGHT, WATER                                            |                            | 0x00FFFFFF (  16777215) | 0xFF9CB774 (  -6506636) | 0xFF83A352 (  -8150190) |
| 136 | twilightforest:snowy_forest                | Snowy Forest                  |  0.09 | COLD     | 0.90 |  true | false   |            | COLD, CONIFEROUS, FOREST, SNOWY, TWILIGHT                         | stronghold                 | 0x00FFFFFF (  16777215) | 0xFF83B690 (  -8145264) | 0xFF64A273 ( -10182029) |
| 137 | twilightforest:twilight_glacier            | Twilight Glacier              |  0.00 | COLD     | 0.10 |  true | false   |            | COLD, SNOWY, TWILIGHT, WASTELAND                                  | stronghold                 | 0x00FFFFFF (  16777215) | 0xFF80B497 (  -8342377) | 0xFF60A17B ( -10444421) |
| 138 | twilightforest:twilight_clearing           | Twilight Clearing             |  0.80 | MEDIUM   | 0.40 | false | false   |            | PLAINS, SPARSE, TWILIGHT                                          | stronghold                 | 0x00FFFFFF (  16777215) | 0xFF91BD59 (  -7226023) | 0xFF77AB2F (  -8934609) |
| 139 | twilightforest:oak_savannah                | Oak Savanna                   |  0.90 | MEDIUM   | 0.00 | false | false   |            | FOREST, SPARSE, TWILIGHT                                          | stronghold                 | 0x00FFFFFF (  16777215) | 0xFFB9B75B (  -4606117) | 0xFFA6A432 (  -5856206) |
| 140 | minecraft:mutated_ice_flats                | Ice Plains Spikes             |  0.00 | COLD     | 0.50 |  true | false   |            | COLD, HILLS, RARE, SNOWY                                          | stronghold                 | 0x00FFFFFF (  16777215) | 0xFF80B497 (  -8342377) | 0xFF60A17B ( -10444421) |
| 141 | twilightforest:firefly_forest              | Firefly Forest                |  0.50 | MEDIUM   | 1.00 | false | false   |            | FOREST, LUSH, TWILIGHT                                            | stronghold                 | 0x00FFFFFF (  16777215) | 0xFF7CBD6B (  -8602261) | 0xFF5BAB46 ( -10769594) |
| 142 | twilightforest:deep_mushroom_forest        | Deep Mushroom Forest          |  0.80 | MEDIUM   | 1.00 | false | false   |            | FOREST, MUSHROOM, TWILIGHT                                        | stronghold                 | 0x00FFFFFF (  16777215) | 0xFF61C64B ( -10369461) | 0xFF3BB61E ( -12863970) |
| 143 | twilightforest:dark_forest                 | Dark Forest                   |  0.70 | MEDIUM   | 0.80 | false | false   |            | DENSE, FOREST, SPOOKY, TWILIGHT                                   | stronghold                 | 0x00FFFFFF (  16777215) | 0xFF79C05A (  -8798118) | 0xFF59AE30 ( -10899920) |
| 144 | twilightforest:enchanted_forest            | Enchanted Forest              |  0.50 | MEDIUM   | 0.50 | false | false   |            | FOREST, MAGICAL, TWILIGHT                                         | stronghold                 | 0x00FFFFFF (  16777215) | 0xFF8EB971 (  -7423631) | 0xFF71A74D (  -9328819) |
| 145 | twilightforest:fire_swamp                  | Fire Swamp                    |  1.00 | WARM     | 0.40 | false | false   |            | HOT, SWAMP, TWILIGHT, WASTELAND                                   | stronghold                 | 0x006C2C2C (   7089196) | 0xFF8EC048 (  -7421880) | 0xFF72AF1A (  -9261286) |
| 146 | twilightforest:dark_forest_center          | Dark Forest Center            |  0.50 | MEDIUM   | 0.50 | false | false   |            | DENSE, FOREST, MAGICAL, SPOOKY, TWILIGHT                          | stronghold                 | 0x00FFFFFF (  16777215) | 0xFF8EB971 (  -7423631) | 0xFF71A74D (  -9328819) |
| 147 | twilightforest:highlands_center            | Final Plateau                 |  0.30 | MEDIUM   | 0.20 | false | false   |            | DEAD, DRY, MESA, TWILIGHT, WASTELAND                              | stronghold                 | 0x00FFFFFF (  16777215) | 0xFF90B682 (  -7293310) | 0xFF74A362 (  -9133214) |
| 148 | twilightforest:thornlands                  | Thornlands                    |  0.30 | MEDIUM   | 0.20 | false | false   |            | DEAD, DRY, HILLS, TWILIGHT, WASTELAND                             | stronghold                 | 0x00FFFFFF (  16777215) | 0xFF90B682 (  -7293310) | 0xFF74A362 (  -9133214) |
| 149 | minecraft:mutated_jungle                   | Jungle M                      |  0.95 | MEDIUM   | 0.90 | false | false   |            | DENSE, HOT, JUNGLE, MOUNTAIN, RARE, WET                           | stronghold                 | 0x00FFFFFF (  16777215) | 0xFF59C93C ( -10892996) | 0xFF30BB0B ( -13583605) |
| 150 | twilightforest:spooky_forest               | Spooky Forest                 |  0.50 | MEDIUM   | 1.00 | false | false   |            | DEAD, DENSE, FOREST, SPOOKY, TWILIGHT                             | stronghold                 | 0x00FA9111 (  16421137) | 0xFF7CBD6B (  -8602261) | 0xFF5BAB46 ( -10769594) |
| 151 | minecraft:mutated_jungle_edge              | JungleEdge M                  |  0.95 | MEDIUM   | 0.80 | false | false   |            | HILLS, HOT, JUNGLE, RARE, SPARSE                                  | stronghold                 | 0x00FFFFFF (  16777215) | 0xFF64C73F ( -10172609) | 0xFF3EB80F ( -12666865) |
| 152 | galacticraftcore:outer space               | Space                         |  0.50 | MEDIUM   | 0.00 | false | false   |            | DEAD, DRY, SPARSE, SPOOKY                                         | stronghold                 | 0x00FFFFFF (  16777215) | 0xFFA0B676 (  -6244746) | 0xFF87A353 (  -7888045) |
| 153 | galacticraftplanets:outer space 1          | Venus Mountain                |  4.00 | WARM     | 0.00 | false | false   |            | DEAD, DRY, HOT, SANDY                                             | stronghold                 | 0x00FFFFFF (  16777215) | 0xFFBFB755 (  -4212907) | 0xFFAEA42A (  -5331926) |
| 154 | galacticraftplanets:outer space 2          | Venus Valley                  |  4.00 | WARM     | 0.00 | false | false   |            | DEAD, DRY, HOT, SANDY                                             |                            | 0x00FFFFFF (  16777215) | 0xFFBFB755 (  -4212907) | 0xFFAEA42A (  -5331926) |
| 155 | minecraft:mutated_birch_forest             | Birch Forest M                |  0.60 | MEDIUM   | 0.60 | false | false   |            | DENSE, FOREST, HILLS, RARE, SUPER_BIRCH_TREES, THEMED_TREES       | stronghold                 | 0x00FFFFFF (  16777215) | 0xFF88BB66 (  -7816346) | 0xFF6BA940 (  -9721536) |
| 156 | minecraft:mutated_birch_forest_hills       | Birch Forest Hills M          |  0.60 | MEDIUM   | 0.60 | false | false   |            | DENSE, FOREST, MOUNTAIN, RARE, SUPER_BIRCH_TREES, THEMED_TREES    | stronghold                 | 0x00FFFFFF (  16777215) | 0xFF88BB66 (  -7816346) | 0xFF6BA940 (  -9721536) |
| 157 | minecraft:mutated_roofed_forest            | Roofed Forest M               |  0.70 | MEDIUM   | 0.80 | false | false   |            | DENSE, FOREST, MOUNTAIN, RARE, SPOOKY                             | stronghold                 | 0x00FFFFFF (  16777215) | 0xFF79C05A (  -8798118) | 0xFF59AE30 ( -10899920) |
| 158 | minecraft:mutated_taiga_cold               | Cold Taiga M                  | -0.50 | COLD     | 0.40 |  true | false   |            | COLD, CONIFEROUS, FOREST, MOUNTAIN, RARE, SNOWY                   | stronghold                 | 0x00FFFFFF (  16777215) | 0xFF80B497 (  -8342377) | 0xFF60A17B ( -10444421) |
| 159 | extraplanets:outer space 3                 | Kepler22b Diamond Plains      |  0.50 | MEDIUM   | 0.00 | false | false   |            | COLD, DENSE, DRY, LUSH                                            | stronghold                 | 0x00FFFFFF (  16777215) | 0xFFA0B676 (  -6244746) | 0xFF87A353 (  -7888045) |
| 160 | minecraft:mutated_redwood_taiga            | Mega Spruce Taiga             |  0.25 | MEDIUM   | 0.80 | false | false   |            | DENSE, FOREST, MEGA_TAIGA_SPRUCE_TREES, RARE, THEMED_TREES        | stronghold                 | 0x00FFFFFF (  16777215) | 0xFF86B783 (  -7948413) | 0xFF68A464 (  -9919388) |
| 161 | minecraft:mutated_redwood_taiga_hills      | Redwood Taiga Hills M         |  0.25 | MEDIUM   | 0.80 | false | false   |            | DENSE, FOREST, HILLS, MEGA_TAIGA_SPRUCE_TREES, RARE, THEMED_TREES | stronghold                 | 0x00FFFFFF (  16777215) | 0xFF86B783 (  -7948413) | 0xFF68A464 (  -9919388) |
| 162 | minecraft:mutated_extreme_hills_with_trees | Extreme Hills+ M              |  0.20 | MEDIUM   | 0.30 | false | false   |            | MOUNTAIN, RARE, SPARSE                                            | stronghold                 | 0x00FFFFFF (  16777215) | 0xFF8AB689 (  -7686519) | 0xFF6DA36B (  -9591957) |
| 163 | minecraft:mutated_savanna                  | Savanna M                     |  1.10 | WARM     | 0.00 | false | false   |            | DRY, HOT, MOUNTAIN, RARE, SAVANNA, SPARSE                         | stronghold                 | 0x00FFFFFF (  16777215) | 0xFFBFB755 (  -4212907) | 0xFFAEA42A (  -5331926) |
| 164 | minecraft:mutated_savanna_rock             | Savanna Plateau M             |  1.00 | WARM     | 0.00 | false | false   |            | DRY, HILLS, HOT, RARE, SAVANNA, SPARSE                            | stronghold                 | 0x00FFFFFF (  16777215) | 0xFFBFB755 (  -4212907) | 0xFFAEA42A (  -5331926) |
| 165 | minecraft:mutated_mesa                     | Mesa (Bryce)                  |  2.00 | WARM     | 0.00 | false | false   |            | DRY, HOT, MOUNTAIN, RARE, SPARSE                                  | stronghold                 | 0x00FFFFFF (  16777215) | 0xFFBFB755 (  -4212907) | 0xFFAEA42A (  -5331926) |
| 166 | minecraft:mutated_mesa_rock                | Mesa Plateau F M              |  2.00 | WARM     | 0.00 | false | false   |            | DRY, HILLS, HOT, RARE, SPARSE                                     | stronghold                 | 0x00FFFFFF (  16777215) | 0xFFBFB755 (  -4212907) | 0xFFAEA42A (  -5331926) |
| 167 | minecraft:mutated_mesa_clear_rock          | Mesa Plateau M                |  2.00 | WARM     | 0.00 | false | false   |            | DRY, HOT, MOUNTAIN, RARE, SPARSE                                  | stronghold                 | 0x00FFFFFF (  16777215) | 0xFFBFB755 (  -4212907) | 0xFFAEA42A (  -5331926) |
| 168 | extraplanets:outer space 4                 | Kepler22b Emerald Plains      |  0.50 | MEDIUM   | 0.00 | false | false   |            | COLD, DENSE, DRY, LUSH                                            | stronghold                 | 0x00FFFFFF (  16777215) | 0xFFA0B676 (  -6244746) | 0xFF87A353 (  -7888045) |
| 169 | extraplanets:outer space 5                 | Kepler22b Gold Plains         |  0.50 | MEDIUM   | 0.00 | false | false   |            | COLD, DENSE, DRY, LUSH                                            | stronghold                 | 0x00FFFFFF (  16777215) | 0xFFA0B676 (  -6244746) | 0xFF87A353 (  -7888045) |
| 170 | extraplanets:outer space 6                 | Kepler22b Iron Plains         |  0.50 | MEDIUM   | 0.00 | false | false   |            | COLD, DENSE, DRY, LUSH                                            | stronghold                 | 0x00FFFFFF (  16777215) | 0xFFA0B676 (  -6244746) | 0xFF87A353 (  -7888045) |
| 171 | extraplanets:outer space 7                 | Kepler22b Plains              |  0.50 | MEDIUM   | 0.00 | false | false   |            | COLD, DEAD, DRY                                                   | stronghold                 | 0x00FFFFFF (  16777215) | 0xFFA0B676 (  -6244746) | 0xFF87A353 (  -7888045) |
| 172 | extraplanets:outer space 8                 | Kepler22b Purple Maple Forest |  0.50 | MEDIUM   | 0.00 | false | false   |            | COLD, DEAD, FOREST                                                | stronghold                 | 0x00FFFFFF (  16777215) | 0xFFA0B676 (  -6244746) | 0xFF87A353 (  -7888045) |
| 173 | extraplanets:outer space 9                 | Kepler22b Red Desert          |  0.50 | MEDIUM   | 0.00 | false | false   |            | COLD, DEAD, DRY, SANDY                                            | stronghold                 | 0x00FFFFFF (  16777215) | 0xFFA0B676 (  -6244746) | 0xFF87A353 (  -7888045) |
| 174 | extraplanets:outer space 10                | Kepler22b Red Maple Forest    |  0.50 | MEDIUM   | 0.00 | false | false   |            | COLD, DEAD, FOREST                                                | stronghold                 | 0x00FFFFFF (  16777215) | 0xFFA0B676 (  -6244746) | 0xFF87A353 (  -7888045) |
| 175 | extraplanets:outer space 11                | Kepler22b WasteLands          |  0.80 | MEDIUM   | 0.90 | false | false   |            | COLD, DEAD, WASTELAND, WET                                        |                            | 0x00E0FFAE (  14745518) | 0xFF6AC44E (  -9780146) | 0xFF45B421 ( -12209119) |
| 176 | extraplanets:outer space 12                | Kepler22b Yellow Maple Forest |  0.50 | MEDIUM   | 0.00 | false | false   |            | COLD, DEAD, FOREST                                                | stronghold                 | 0x00FFFFFF (  16777215) | 0xFFA0B676 (  -6244746) | 0xFF87A353 (  -7888045) |
| 177 | netherex:ruthless_sands                    | Ruthless Sands                |  2.00 | WARM     | 0.00 | false | false   |            | DRY, HOT, NETHER, SANDY                                           | stronghold                 | 0x00FFFFFF (  16777215) | 0xFFBFB755 (  -4212907) | 0xFFAEA42A (  -5331926) |
| 178 | netherex:fungi_forest                      | Fungi Forest                  |  1.10 | WARM     | 0.00 | false | false   |            | COLD, MUSHROOM, NETHER, WET                                       | stronghold                 | 0x00FFFFFF (  16777215) | 0xFFBFB755 (  -4212907) | 0xFFAEA42A (  -5331926) |
| 179 | netherex:torrid_wasteland                  | Torrid Wasteland              |  4.00 | WARM     | 0.00 | false | false   |            | DRY, HOT, NETHER, WASTELAND                                       | stronghold                 | 0x00FFFFFF (  16777215) | 0xFFBFB755 (  -4212907) | 0xFFAEA42A (  -5331926) |
| 180 | netherex:arctic_abyss                      | Arctic Abyss                  |  0.00 | COLD     | 0.00 | false | false   |            | COLD, NETHER, WET                                                 | stronghold                 | 0x00FFFFFF (  16777215) | 0xFF80B497 (  -8342377) | 0xFF60A17B ( -10444421) |
| 181 | aroma1997sdimension:miningbiome            | miningBiome                   |  0.50 | MEDIUM   | 0.50 | false | false   |            | PLAINS                                                            | stronghold, village        | 0x00FFFFFF (  16777215) | 0xFF8EB971 (  -7423631) | 0xFF71A74D (  -9328819) |
+-----+--------------------------------------------+-------------------------------+-------+----------+------+-------+---------+------------+-------------------------------------------------------------------+----------------------------+-------------------------+-------------------------+-------------------------+
|  ID | Registry name                              | Biome name                    | temp. | temp cat | rain |  snow | oceanic | BiomeType  | BiomeDictionary.Type                                              | Valid for                  | waterColorMultiplier    | grassColorMultiplier    | foliageColorMultiplier  |
+-----+--------------------------------------------+-------------------------------+-------+----------+------+-------+---------+------------+-------------------------------------------------------------------+----------------------------+-------------------------+-------------------------+-------------------------+
